id|nombre|apellido1|apellido2|rut|direccion|celular|nacimiento|sexoId|usuarioId|regionId|provincixId|comunaId|createdAt|updatedAt
1|Federico Brian|Alarcón|Contreras|25708834-0|Santa Monica 1400|56935061298|2017-12-24|1|51|7|23|109|2023-09-24|2023-09-24
2|Arantxa Esmeralda|Pino|Torres|25429408-K|Tracción 21 1952|56994791461|2017-01-17|2|52|7|23|109|2023-09-24|2023-09-24
3|Pedro Juan|Moreno|Espinoza|25528014-7|Nueva España 1368|56944882162|2017-05-17|1|53|7|23|109|2023-09-24|2023-09-24
4|Lila Martina|Moreno|Cáceres|25600232-9|José Santiago Montt 544|56953358717|2017-08-13|2|54|7|23|109|2023-09-24|2023-09-24
5|Franco Isidoro|Muñoz|Carvajal|25489574-1|Calle Quinta Normal 614|56988873730|2017-03-31|1|55|7|23|109|2023-09-24|2023-09-24
6|Tomás Tomás|Torres|Alarcón|25521761-5|Pasaje Nueva 1 1922|56913024109|2017-05-10|1|56|7|23|109|2023-09-24|2023-09-24
7|Hernán Carlos|Guzmán|Ramírez|25506545-9|Blanco Cuartin 790|56971452764|2017-04-21|1|57|7|23|109|2023-09-24|2023-09-24
8|Blanca Jimena|Jiménez|Farias|25545172-3|General Moore 1978|56982429165|2017-06-07|2|58|7|23|109|2023-09-24|2023-09-24
9|Leonardo Liam|Riquelme|Gómez|25578063-8|Alejandro Emilio 913|56962035006|2017-07-17|1|59|7|23|109|2023-09-24|2023-09-24
10|Santiago Emmanuel|Carrasco|Aravena|25688886-6|Avenida Santa Rosa 1648|56912739255|2017-11-29|1|60|7|23|109|2023-09-24|2023-09-24
11|Camila Claudia|Castillo|Rojas|25670839-6|San Antonio 367|56926853714|2017-11-07|2|61|7|23|109|2023-09-24|2023-09-24
12|Valeria Aroha|Miranda|Molina|25426752-K|Pedro León Ugalde 834|56911992807|2017-01-14|2|62|7|23|109|2023-09-24|2023-09-24
13|Brian Bautista|Cáceres|Poblete|25648312-2|Tres Puntas 1666|56943551394|2017-10-11|1|63|7|23|109|2023-09-24|2023-09-24
14|Mireya Mireya|Palma|Castro|25632634-5|Londres 1352|56951956326|2017-09-22|2|64|7|23|109|2023-09-24|2023-09-24
15|Áxel Tobías|Sáez|Reyes|25584923-9|Tocornal 1514|56970846509|2017-07-26|1|65|7|23|109|2023-09-24|2023-09-24
16|Fernanda Paz|Valdés|Tapia|25615633-4|Pasaje Nueva 1 518|56966742968|2017-09-01|2|66|7|23|109|2023-09-24|2023-09-24
17|Nicolás Ignacio|Ruiz|Sánchez|25655814-9|Plaza Manuel Rodríguez 1437|56967770804|2017-10-20|1|67|7|23|109|2023-09-24|2023-09-24
18|Constanza Antonia|Acevedo|Vera|25444279-8|Delirio 1459|56972132085|2017-02-04|2|68|7|23|109|2023-09-24|2023-09-24
19|Maximiliano Enrique|Hernández|Toro|25473384-9|Meiggs 1025|56937412012|2017-03-12|1|69|7|23|109|2023-09-24|2023-09-24
20|Armando Tobías|Rojas|Sepúlveda|25571921-1|José Santiago Montt 469|56999574340|2017-07-10|1|70|7|23|109|2023-09-24|2023-09-24
21|Sara Almendra|Olivares|Leiva|25505455-4|Gaspar de la Barrera 162|56928426453|2017-04-20|2|71|7|23|109|2023-09-24|2023-09-24
22|Agustín Alonso|Ortiz|Carvajal|25418986-3|Manuel Antonio Tocomal 1496|56998479700|2017-01-04|1|72|7|23|109|2023-09-24|2023-09-24
23|Penélope Manuela|Riquelme|Fernández|25660885-5|Lincoln 1109|56912614800|2017-10-26|2|73|7|23|109|2023-09-24|2023-09-24
24|Renata Claudia|Miranda|Sepúlveda|25638834-0|Mario Kreutzberger 1475|56965457440|2017-09-29|2|74|7|23|109|2023-09-24|2023-09-24
25|Patricio Ian|Castillo|Guerrero|25590826-K|Santiago 456|56962204026|2017-08-02|1|75|7|23|109|2023-09-24|2023-09-24
26|Nicole Claudia|Godoy|Zúñiga|25553867-5|Santa Margarita 106|56978198937|2017-06-18|2|101|7|23|109|2023-09-24|2023-09-24
27|Sol Mila|Aguilera|Morales|25474054-3|Quito 935|56992681239|2017-03-12|2|102|7|23|109|2023-09-24|2023-09-24
28|Valentina Luisa|Navarrete|Álvarez|25667394-0|Marsella 603|56994429767|2017-11-03|2|103|7|23|109|2023-09-24|2023-09-24
29|Íñigo Cristóbal|Rojas|Rodríguez|25460268-K|San Antonio 1009|56947347695|2017-02-24|1|104|7|23|109|2023-09-24|2023-09-24
30|León Emmanuel|Carrasco|López|25641999-8|Eduardo Matte 493|56992733498|2017-10-03|1|105|7|23|109|2023-09-24|2023-09-24
31|Brisa Mía|Rojas|Espinoza|25607255-6|Padre Orellana 1818|56930345905|2017-08-22|2|106|7|23|109|2023-09-24|2023-09-24
32|Lucca Gaspar|Castro|Fuentes|25566592-8|Romero 32|56979223175|2017-07-03|1|107|7|23|109|2023-09-24|2023-09-24
33|Luciana Martina|Carvajal|Araya|25484945-6|Puerta de Vera 684|56966778449|2017-03-26|2|108|7|23|109|2023-09-24|2023-09-24
34|Jhon Leonardo|Guzmán|Lagos|25712599-8|Avenida J.J. Prieto 958|56924843914|2017-12-28|1|109|7|23|109|2023-09-24|2023-09-24
35|Sebastián Liam|Salinas|Espinoza|25713697-3|Pasaje Alerces 43|56916714447|2017-12-29|1|110|7|23|109|2023-09-24|2023-09-24
36|Thiago Sebastián|Bustos|Zúñiga|25601705-9|San Diego 99|56975839963|2017-08-15|1|111|7|23|109|2023-09-24|2023-09-24
37|Simón Mateo|Gallardo|Ortega|25672641-6|Tres Puntas 537|56935550487|2017-11-09|1|112|7|23|109|2023-09-24|2023-09-24
38|Marcelo Thiago|Gallardo|Vidal|25451476-4|Las Acacias 1607|56966968394|2017-02-13|1|113|7|23|109|2023-09-24|2023-09-24
39|Marco Enrique|Vidal|García|25584903-4|Pasaje 3 1234|56956070704|2017-07-26|1|114|7|23|109|2023-09-24|2023-09-24
40|Julián León|Vásquez|Navarrete|25560220-9|Alcalde Flores 768|56995873242|2017-06-25|1|115|7|23|109|2023-09-24|2023-09-24
41|Isaac Marcos|Vargas|Álvarez|25583655-2|Avenida Manuel Antonio Matta 1034|56954718757|2017-07-24|1|116|7|23|109|2023-09-24|2023-09-24
42|Roberto Valentino|González|Carrasco|25628672-6|Santa Rosa 1433|56915306759|2017-09-17|1|117|7|23|109|2023-09-24|2023-09-24
43|Camilo Rafael|Vergara|Jara|25500943-5|Placer 702|56946556077|2017-04-14|1|118|7|23|109|2023-09-24|2023-09-24
44|Vania Ximena|Poblete|Vidal|25658613-4|Catedral 1797|56956984335|2017-10-23|2|119|7|23|109|2023-09-24|2023-09-24
45|Jaime Gustavo|Farias|Bravo|25709614-9|San Vicente 584|56992397668|2017-12-24|1|120|7|23|109|2023-09-24|2023-09-24
46|Juanita Mireya|Orellana|Parra|25461308-8|Zenteno 186|56911600788|2017-02-25|2|121|7|23|109|2023-09-24|2023-09-24
47|Laura Rosario|Vega|Donoso|25665743-0|Celia Solar 212|56968128642|2017-11-01|2|122|7|23|109|2023-09-24|2023-09-24
48|Laura Rosario|Flores|Acevedo|25445093-6|Avenida Manuel Rodríguez Norte 874|56969150758|2017-02-05|2|123|7|23|109|2023-09-24|2023-09-24
49|Carla Paulina|Torres|Gutiérrez|25557668-2|Dieciocho 557|56941312265|2017-06-22|2|124|7|23|109|2023-09-24|2023-09-24
50|Tobías Víctor|Garrido|Venegas|25470747-3|Manuel Antonio Tocomal 403|56925403890|2017-03-08|1|125|7|23|109|2023-09-24|2023-09-24
51|Francisca Catalina|Sandoval|García|25250131-2|Meiggs 153|56986913065|2016-06-13|2|151|7|23|109|2023-09-24|2023-09-24
52|Yasna Tamara|Valdés|Ramírez|25277865-9|Lucrecia Borgia 502|56937303352|2016-07-16|2|152|7|23|109|2023-09-24|2023-09-24
53|Ximena Nerea|Pizarro|Vásquez|25363163-5|Marsella 427|56967584929|2016-10-28|2|153|7|23|109|2023-09-24|2023-09-24
54|Eduardo Mateo|Farias|Lagos|25328348-3|San Rafael 1151|56936436185|2016-09-16|1|154|7|23|109|2023-09-24|2023-09-24
55|Gabriela Constanza|Molina|Vera|25129774-6|Chacabuco 1731|56918644458|2016-01-18|2|155|7|23|109|2023-09-24|2023-09-24
56|Estefanía Ivanna|Molina|Sanhueza|25299344-4|Rosas 570|56942933004|2016-08-12|2|156|7|23|109|2023-09-24|2023-09-24
57|Alonso Nehemías|Ortega|Vargas|25117887-9|Santa Monica 1451|56962815784|2016-01-04|1|157|7|23|109|2023-09-24|2023-09-24
58|Luna Matilda|Torres|Orellana|25184539-5|Bellalta 207|56945198325|2016-03-25|2|158|7|23|109|2023-09-24|2023-09-24
59|Catalina Celia|Gallardo|Rivera|25257650-9|Centenario 1292|56922661311|2016-06-22|2|159|7|23|109|2023-09-24|2023-09-24
60|David Leonardo|Morales|Carvajal|25215983-5|Florencio Bahamondes 916|56993099115|2016-05-02|1|160|7|23|109|2023-09-24|2023-09-24
61|Almendra Constanza|Guzmán|Navarrete|25218220-9|Manuel Rodríguez 1471|56992920047|2016-05-05|2|161|7|23|109|2023-09-24|2023-09-24
62|Simón Mateo|Rivera|Araya|25229024-9|Martínez de Rosas 1637|56957110909|2016-05-18|1|162|7|23|109|2023-09-24|2023-09-24
63|Emilia Antonella|Muñoz|Alarcón|25128607-8|La Fetra 1645|56950932637|2016-01-17|2|163|7|23|109|2023-09-24|2023-09-24
64|Bautista Oliver|Navarro|Maldonado|25139363-K|San Dionisio 684|56964907996|2016-01-30|1|164|7|23|109|2023-09-24|2023-09-24
65|Azul Azul|Pino|Cáceres|25226673-9|Rafael Sotomayor 1130|56970457330|2016-05-15|2|165|7|23|109|2023-09-24|2023-09-24
66|Ariadna Magdalena|Bustamente|Figueroa|25267607-4|Santa María 1689|56959747464|2016-07-04|2|166|7|23|109|2023-09-24|2023-09-24
67|Cristian Ismael|Peña|Contreras|25283462-1|María Arteaga 1445|56949357529|2016-07-23|1|167|7|23|109|2023-09-24|2023-09-24
68|Celia Magdalena|Hernández|Flores|25324506-9|Santa Elvira 696|56944092439|2016-09-11|2|168|7|23|109|2023-09-24|2023-09-24
69|Constanza Sol|Salazar|Molina|25239882-1|Santa Monica 694|56942769958|2016-05-31|2|169|7|23|109|2023-09-24|2023-09-24
70|Isabella Valentina|Hernández|Gallardo|25243105-5|Dr. Allende Padín 534|56944636322|2016-06-04|2|170|7|23|109|2023-09-24|2023-09-24
71|Amelia Julieta|Flores|Pino|25146227-5|Benavides 1531|56993190373|2016-02-07|2|171|7|23|109|2023-09-24|2023-09-24
72|Zahir Ethan|Carvajal|Núñez|25172123-8|El Parque 236|56978395643|2016-03-10|1|172|7|23|109|2023-09-24|2023-09-24
73|Aitana Antonella|López|Pérez|25299758-K|Santiago Concha 1086|56939067108|2016-08-12|2|173|7|23|109|2023-09-24|2023-09-24
74|Nerea Martina|Ortega|Gómez|25153579-5|Avenida Tupper 52|56987678284|2016-02-16|2|174|7|23|109|2023-09-24|2023-09-24
75|Orlando Liam|Jiménez|Díaz|25281454-K|Guardiamarina Ernesto Riquelme 1130|56947274263|2016-07-21|1|175|7|23|109|2023-09-24|2023-09-24
