id|nombre|apellido1|apellido2|rut|direccion|celular|nacimiento|niveleducacionalId|usuarioId|sexoId|regionId|provincixId|comunaId|createdAt|updatedAt
1|Penélope Almendra|Contreras|Ramírez|17242335-3|Angamos 1348|+56953752731|1989-09-26|5|76|2|7|23|109|2023-09-24|2023-09-24
2|Paz Belén|Torres|Gómez|17547816-7|Corte Suprema 308|+56912910656|1990-10-03|4|77|2|7|23|109|2023-09-24|2023-09-24
3|Julieta Francisca|Espinoza|Gutiérrez|20036159-8|Artemio Gutierrez 1480|+56953090500|1999-01-21|2|78|2|7|23|109|2023-09-24|2023-09-24
4|Alejandra Martina|Cáceres|Saavedra|16869024-K|Emiliano Figueroa 1985|+56985373855|1988-06-28|5|79|2|7|23|109|2023-09-24|2023-09-24
5|Azul Jimena|Carvajal|Alarcón|18222775-7|Valentín Letelier 568|+56944447578|1993-01-02|4|80|2|7|23|109|2023-09-24|2023-09-24
6|Zahir Francisco|Torres|Gómez|18549676-7|Namur 1245|+56922116661|1994-02-05|2|81|1|7|23|109|2023-09-24|2023-09-24
7|Mateo Roberto|Guzmán|Campos|18798380-0|Loncomilla 293|+56957922848|1994-12-05|5|82|1|7|23|109|2023-09-24|2023-09-24
8|Diana Magdalena|Farias|Rojas|19053911-3|San Rafael 1940|+56916431411|1995-10-12|3|83|2|7|23|109|2023-09-24|2023-09-24
9|Rubén Ricardo|Riquelme|Guzmán|18073726-K|Avenida Walker Martinez 144|+56967039738|1992-07-05|4|84|1|7|23|109|2023-09-24|2023-09-24
10|Paz Esmeralda|Aravena|Medina|18272283-9|Pasaje El Trebol 1543|+56915607223|1993-03-04|2|85|2|7|23|109|2023-09-24|2023-09-24
11|Rocío Alejandra|Rojas|Bravo|20037317-0|Ricardo Poenisch 1170|+56910406220|1999-01-22|2|86|2|7|23|109|2023-09-24|2023-09-24
12|Manuela Romina|Molina|Tapia|17178280-5|Pasaje San Alfonso 1768|+56914997710|1989-07-10|2|87|2|7|23|109|2023-09-24|2023-09-24
13|Emilia Camila|Poblete|Jara|16640662-5|Lira 975|+56963268389|1987-09-24|3|88|2|7|23|109|2023-09-24|2023-09-24
14|Paz Salomé|Castro|Olivares|17900457-7|Melipilla 1696|+56929379023|1991-12-07|2|89|2|7|23|109|2023-09-24|2023-09-24
15|Alexa Almendra|Reyes|Lagos|17290560-9|Alejandro Acosta 262|+56956496573|1989-11-24|5|90|2|7|23|109|2023-09-24|2023-09-24
16|Enrique David|Valdés|Orellana|18517809-9|Arturo Prat 144|+56921914796|1993-12-28|2|91|1|7|23|109|2023-09-24|2023-09-24
17|Mateo Brian|Ruiz|Castro|17956548-K|Rogelio Ugarte 35|+56979470085|1992-02-13|4|92|1|7|23|109|2023-09-24|2023-09-24
18|Javiera Anaís|Vera|Valdés|16967890-1|Alamos 1004|+56975125642|1988-10-27|5|93|2|7|23|109|2023-09-24|2023-09-24
19|Victoria Clara|Toro|Sandoval|18506488-3|General Jarpa 278|+56968834091|1993-12-14|2|94|2|7|23|109|2023-09-24|2023-09-24
20|Ximena Lila|Sepúlveda|Ortega|19761716-0|Traslaviña 572|+56984801941|1998-02-21|4|95|2|7|23|109|2023-09-24|2023-09-24
21|Belén Carolina|Leiva|Pizarro|16181550-0|Pedro De La Barra 1347|+56994699662|1986-03-13|4|96|2|7|23|109|2023-09-24|2023-09-24
22|Débora Valeria|Carvajal|Miranda|17345918-1|Blas Cañas 731|+56918277775|1990-01-30|3|97|2|7|23|109|2023-09-24|2023-09-24
23|Alonso Nicolao|Riquelme|Sanhueza|20158321-7|Pasaje Aguirre 467|+56921637156|1999-06-19|3|98|1|7|23|109|2023-09-24|2023-09-24
24|Emmanuel Gustavo|Miranda|Cáceres|17194013-3|San Francisco 1487|+56945550972|1989-07-29|3|99|1|7|23|109|2023-09-24|2023-09-24
25|Rodrigo Julián|Castillo|Valdés|19430442-0|Almirante Churruca 1541|+56949882537|1997-01-13|5|100|1|7|23|109|2023-09-24|2023-09-24
26|Victoria Magdalena|Zúñiga|Rivera|18137164-1|Vergara 390|+56976363549|1992-09-20|2|126|2|7|23|109|2023-09-24|2023-09-24
27|Lorenzo Simón|Aguilera|Bustos|18582093-9|German Riesco 1008|+56913580241|1994-03-16|4|127|1|7|23|109|2023-09-24|2023-09-24
28|Alejandro Maximiliano|Navarrete|Donoso|15967530-0|Avenida Manuel Rodríguez Norte 1673|+56938314350|1985-06-26|3|128|1|7|23|109|2023-09-24|2023-09-24
29|Magdalena Laura|Rodríguez|Pérez|19448112-8|Ramirez 1237|+56948234497|1997-02-03|5|129|2|7|23|109|2023-09-24|2023-09-24
30|Bautista Sebastián|Carrasco|Figueroa|17439125-4|Claudio Gay 212|+56954694231|1990-05-24|2|130|1|7|23|109|2023-09-24|2023-09-24
31|Antonia Karla|Espinoza|Henríquez|18574744-1|Avenida Carlos Silva Vildosola 868|+56914305872|1994-03-07|2|131|2|7|23|109|2023-09-24|2023-09-24
32|Valentina Agustina|Fuentes|Cortés|17014889-4|Quito 1026|+56946735768|1988-12-23|3|132|2|7|23|109|2023-09-24|2023-09-24
33|Ivanna Arantxa|Araya|Maldonado|15820506-8|Guayaquil 1329|+56967960813|1984-12-29|3|133|2|7|23|109|2023-09-24|2023-09-24
34|Fernando Patricio|Guzmán|Olivares|16550561-1|Francisco Pizarro 456|+56952061715|1987-06-06|4|134|1|7|23|109|2023-09-24|2023-09-24
35|Íñigo Federico|Salinas|Fuentes|19187424-2|Pasaje Espineira 1848|+56915593047|1996-03-23|2|135|1|7|23|109|2023-09-24|2023-09-24
36|Noelia Carolina|Zúñiga|Aravena|17701478-8|General Jarpa 1456|+56950908681|1991-04-08|5|136|2|7|23|109|2023-09-24|2023-09-24
37|Belén Francisca|Ortega|Gómez|15291497-0|Berta Fernández 650|+56961510635|1983-03-25|5|137|2|7|23|109|2023-09-24|2023-09-24
