nombre|fecha|lugar|createdAt|updatedAt
Año Nuevo|2023-01-01|Chile|2023-09-24|2023-09-24
Feriado Adicional|2023-01-02|Chile|2023-09-24|2023-09-24
Viernes Santo|2023-04-07|Chile|2023-09-24|2023-09-24
Sábado Santo|2023-04-08|Chile|2023-09-24|2023-09-24
Día del Trabajo|2023-05-01|Chile|2023-09-24|2023-09-24
Elección Consejeros Constitucionales|2023-05-07|Chile|2023-09-24|2023-09-24
Día de las Glorias Navales|2023-05-21|Chile|2023-09-24|2023-09-24
Día Nacional de los Pueblos Indígenas|2023-06-21|Chile|2023-09-24|2023-09-24
San Pedro y San Pablo|2023-06-26|Chile|2023-09-24|2023-09-24
Día de la Virgen del Carmen|2023-07-16|Chile|2023-09-24|2023-09-24
Asunción de la Virgen|2023-08-15|Chile|2023-09-24|2023-09-24
Independencia Chile|2023-09-18|Chile|2023-09-24|2023-09-24
Día de las Glorias del Ejército|2023-09-19|Chile|2023-09-24|2023-09-24
Encuentro de dos mundos|2023-10-09|Chile|2023-09-24|2023-09-24
Día de las Iglesias Evangélicas y Protestantes|2023-10-27|Chile|2023-09-24|2023-09-24
Día de todos los Santos|2023-11-01|Chile|2023-09-24|2023-09-24
Inmaculada Concepción|2023-12-08|Chile|2023-09-24|2023-09-24
Plebiscito Nacional|2023-12-17|Chile|2023-09-24|2023-09-24
Navidad|2023-12-25|Chile|2023-09-24|2023-09-24
