id|username|email|tipousuarioId|temaId|operativo|uid|secret|authIsSet|lastLogin|createdAt|updatedAt
1|vcherrera_7|vcherrera_7@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
2|liparra|liparra@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
3|mmtorres_79|mmtorres_79@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
4|alvera_51|alvera_51@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
5|dmreyes_14|dmreyes_14@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
6|cjalarcon_12|cjalarcon_12@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
7|mnreyes_4|mnreyes_4@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
8|grmartinez_44|grmartinez_44@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
9|tcgarcia_83|tcgarcia_83@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
10|bíjimenez_97|bíjimenez_97@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
11|mfnunez_29|mfnunez_29@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
12|jcvega_39|jcvega_39@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
13|jgpena_74|jgpena_74@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
14|vcmorales_87|vcmorales_87@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
15|jmpino_78|jmpino_78@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
16|yavasquez_24|yavasquez_24@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
17|axramirez_53|axramirez_53@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
18|isflores_55|isflores_55@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
19|cbflores_10|cbflores_10@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
20|rfalvarez_10|rfalvarez_10@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
21|vkfuentes_88|vkfuentes_88@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
22|lesandoval_26|lesandoval_26@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
23|zcaraya_28|zcaraya_28@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
24|rrfigueroa_75|rrfigueroa_75@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
25|mntorres_95|mntorres_95@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
26|mscastillo_18|mscastillo_18@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
27|ifcastro_74|ifcastro_74@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
28|ncortega_25|ncortega_25@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
29|ajherrera_76|ajherrera_76@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
30|smorellana_73|smorellana_73@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
31|melopez_24|melopez_24@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
32|jthernandez_1|jthernandez_1@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
33|jvpizarro_29|jvpizarro_29@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
34|vyperez_70|vyperez_70@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
35|jbrojas_47|jbrojas_47@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
36|evguerrero_65|evguerrero_65@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
37|jiacuna_82|jiacuna_82@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
38|lmlopez_97|lmlopez_97@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
39|idbravo_91|idbravo_91@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
40|kydiaz_97|kydiaz_97@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
41|jrbustamente_81|jrbustamente_81@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
42|dcvera_89|dcvera_89@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
43|mcsepulveda_76|mcsepulveda_76@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
44|ejcaceres_69|ejcaceres_69@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
45|eopena_66|eopena_66@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
46|jdtapia_38|jdtapia_38@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
47|cjcastillo_26|cjcastillo_26@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
48|nacontreras_57|nacontreras_57@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
49|ejortiz_91|ejortiz_91@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
50|selagos_45|selagos_45@gmail.com|1|1|true|null|null|false|null|2023-09-24|2023-09-24
